Song Name,Artist,Genre,Popularity
Ishq Zindagi,Arijit Singh,Indie,93
Mohabbat Pyar,Arijit Singh,Bollywood,98
Pyar Raat,KK,Hip-Hop,95
Tere Tere,KK,Bollywood,82
Raat Mohabbat,Neha Kakkar,Folk,92
Din Tere,Badshah,Hip-Hop,85
Mohabbat Jaan,Arijit Singh,Indie,90
Dil Pyar,Shreya Ghoshal,Pop,90
Zindagi Pyar,Jubin Nautiyal,Punjabi,89
Ishq Mere,KK,Retro,90
Mohabbat Zindagi,Badshah,Retro,93
Pyar Ishq,KK,Pop,94
Dil Zindagi,KK,Indie,85
Jaan Raat,Jubin Nautiyal,Hip-Hop,99
Pyar Din,KK,Folk,96
Din Tere,Sonu Nigam,Pop,83
Zindagi Dil,KK,Indie,89
Zindagi Dil,Atif Aslam,Hip-Hop,89
Ishq Jaan,Sonu Nigam,Bollywood,94
Tere Dil,Shreya Ghoshal,Folk,89
Tere Tere,Badshah,Bollywood,82
Din Zindagi,Arijit Singh,Retro,96
Mohabbat Din,Neha Kakkar,Fusion,81
Mere Dil,Atif Aslam,Pop,89
Tere Ishq,KK,Bollywood,93
Raat Jaan,Badshah,Hip-Hop,81
Pyar Ishq,Shreya Ghoshal,Folk,100
Zindagi Ishq,Neha Kakkar,Pop,90
Mohabbat Raat,Jubin Nautiyal,Folk,98
Ishq Ishq,Jubin Nautiyal,Retro,87
Ishq Din,Shreya Ghoshal,Indie,82
Ishq Dil,Badshah,Retro,86
Dil Mohabbat,Atif Aslam,Folk,91
Jaan Tere,Atif Aslam,Indie,86
Jaan Ishq,Neha Kakkar,Fusion,86
Mohabbat Pyar,Arijit Singh,Pop,85
Ishq Raat,KK,Indie,80
Mohabbat Jaan,Jubin Nautiyal,Punjabi,86
Tere Pyar,KK,Bollywood,86
Tere Raat,Atif Aslam,Bollywood,84
Raat Mere,Badshah,Indie,96
Mohabbat Pyar,Shreya Ghoshal,Punjabi,82
Tere Raat,Atif Aslam,Pop,87
Dil Ishq,KK,Folk,95
Ishq Mere,Atif Aslam,Fusion,89
Pyar Pyar,Badshah,Indie,94
Dil Ishq,Jubin Nautiyal,Bollywood,95
Mere Raat,Shreya Ghoshal,Hip-Hop,94
Tere Zindagi,Neha Kakkar,Bollywood,81
Mohabbat Mohabbat,Sonu Nigam,Folk,83
Zindagi Pyar,Atif Aslam,Retro,85
Din Tere,Badshah,Bollywood,90
Ishq Mohabbat,Badshah,Hip-Hop,85
Tere Zindagi,Arijit Singh,Hip-Hop,83
Jaan Din,Arijit Singh,Hip-Hop,94
Pyar Mohabbat,Atif Aslam,Hip-Hop,90
Dil Din,Neha Kakkar,Fusion,85
Dil Zindagi,Jubin Nautiyal,Bollywood,98
Mere Ishq,Atif Aslam,Fusion,82
Ishq Din,Badshah,Bollywood,80
Zindagi Ishq,Badshah,Retro,96
Mere Mere,Atif Aslam,Pop,83
Din Raat,KK,Bollywood,87
Raat Mere,KK,Punjabi,92
Jaan Zindagi,Shreya Ghoshal,Pop,93
Raat Din,Arijit Singh,Indie,82
Jaan Din,Sonu Nigam,Folk,82
Pyar Din,Neha Kakkar,Indie,82
Din Din,Atif Aslam,Hip-Hop,82
Raat Jaan,Badshah,Punjabi,91
Tere Zindagi,Arijit Singh,Fusion,88
Din Din,Shreya Ghoshal,Punjabi,83
Zindagi Jaan,KK,Indie,96
Mere Raat,KK,Pop,94
Raat Jaan,Atif Aslam,Hip-Hop,94
Ishq Jaan,Shreya Ghoshal,Pop,96
Pyar Tere,Sonu Nigam,Hip-Hop,89
Pyar Din,Badshah,Retro,93
Pyar Pyar,Badshah,Punjabi,83
Jaan Mere,Arijit Singh,Indie,90
Mere Jaan,KK,Retro,87
Zindagi Ishq,Atif Aslam,Punjabi,96
Tere Zindagi,Sonu Nigam,Fusion,82
Mohabbat Tere,Neha Kakkar,Hip-Hop,90
Mere Zindagi,Shreya Ghoshal,Hip-Hop,91
Mohabbat Dil,Shreya Ghoshal,Punjabi,98
Zindagi Tere,Arijit Singh,Bollywood,84
Ishq Mohabbat,Sonu Nigam,Fusion,81
Dil Jaan,Badshah,Hip-Hop,80
Mere Pyar,KK,Retro,95
Raat Mohabbat,Jubin Nautiyal,Punjabi,87
Pyar Zindagi,Sonu Nigam,Indie,90
Jaan Jaan,Shreya Ghoshal,Indie,92
Ishq Tere,Atif Aslam,Indie,94
Raat Ishq,Jubin Nautiyal,Folk,92
Mohabbat Zindagi,Arijit Singh,Indie,90
Din Pyar,Neha Kakkar,Indie,90
Ishq Ishq,Badshah,Hip-Hop,100
Jaan Pyar,Jubin Nautiyal,Hip-Hop,87
Din Pyar,Sonu Nigam,Fusion,99
Tere Jaan,Jubin Nautiyal,Punjabi,93
Zindagi Dil,Sonu Nigam,Folk,86
Ishq Din,Arijit Singh,Fusion,98
Dil Dil,Atif Aslam,Hip-Hop,82
Tere Din,Badshah,Folk,90
Jaan Mere,Atif Aslam,Folk,85
Mohabbat Mere,Atif Aslam,Indie,97
Pyar Jaan,Neha Kakkar,Retro,83
Mohabbat Din,Jubin Nautiyal,Punjabi,90
Mere Jaan,Atif Aslam,Hip-Hop,88
Ishq Tere,Atif Aslam,Retro,90
Jaan Jaan,Neha Kakkar,Punjabi,96
Dil Raat,Arijit Singh,Indie,94
Zindagi Raat,KK,Pop,97
Raat Ishq,Sonu Nigam,Pop,96
Mere Zindagi,KK,Bollywood,95
Dil Tere,Arijit Singh,Folk,84
Dil Pyar,Shreya Ghoshal,Indie,96
Din Pyar,Arijit Singh,Pop,93
Pyar Din,Badshah,Pop,80
Pyar Zindagi,Jubin Nautiyal,Bollywood,83
Ishq Din,Sonu Nigam,Retro,84
Pyar Tere,Arijit Singh,Fusion,91
Zindagi Zindagi,Neha Kakkar,Pop,91
Jaan Jaan,Jubin Nautiyal,Bollywood,93
Raat Dil,Sonu Nigam,Punjabi,87
Tere Jaan,Badshah,Folk,96
Mohabbat Pyar,Neha Kakkar,Bollywood,97
Pyar Din,Neha Kakkar,Hip-Hop,86
Mere Ishq,Jubin Nautiyal,Folk,86
Jaan Zindagi,Arijit Singh,Bollywood,98
Tere Mohabbat,Atif Aslam,Indie,94
Raat Jaan,Arijit Singh,Indie,97
Jaan Raat,Badshah,Bollywood,94
Jaan Raat,KK,Punjabi,81
Pyar Raat,Sonu Nigam,Bollywood,91
Din Raat,Sonu Nigam,Indie,84
Jaan Din,Arijit Singh,Pop,88
Din Raat,Sonu Nigam,Bollywood,81
Din Mohabbat,Sonu Nigam,Fusion,86
Raat Ishq,Sonu Nigam,Indie,100
Din Din,Neha Kakkar,Retro,85
Dil Pyar,Jubin Nautiyal,Hip-Hop,89
Mere Jaan,Sonu Nigam,Retro,88
Raat Zindagi,Jubin Nautiyal,Indie,88
Pyar Dil,Arijit Singh,Fusion,88
Jaan Dil,Atif Aslam,Bollywood,97
Din Jaan,Arijit Singh,Folk,98
Din Zindagi,Jubin Nautiyal,Fusion,80
Jaan Mere,Badshah,Hip-Hop,94
Din Jaan,Neha Kakkar,Bollywood,97
Din Pyar,Atif Aslam,Folk,91
Pyar Pyar,Badshah,Pop,96
Zindagi Din,Badshah,Bollywood,82
Din Zindagi,KK,Indie,99
Ishq Tere,KK,Indie,82
Din Ishq,KK,Indie,82
Mohabbat Ishq,Atif Aslam,Hip-Hop,85
Din Din,KK,Hip-Hop,94
Dil Zindagi,Sonu Nigam,Fusion,89
Dil Din,Sonu Nigam,Indie,83
Ishq Ishq,Sonu Nigam,Folk,81
Dil Zindagi,Sonu Nigam,Folk,98
Raat Ishq,Arijit Singh,Pop,99
Pyar Raat,Jubin Nautiyal,Indie,90
Mohabbat Raat,Neha Kakkar,Indie,100
Raat Pyar,Atif Aslam,Punjabi,89
Tere Jaan,Badshah,Fusion,83
Dil Raat,Badshah,Fusion,90
Pyar Din,Arijit Singh,Bollywood,86
Ishq Zindagi,KK,Pop,82
Mere Raat,Shreya Ghoshal,Hip-Hop,83
Mohabbat Din,Neha Kakkar,Punjabi,80
Tere Dil,Neha Kakkar,Retro,82
Zindagi Jaan,Jubin Nautiyal,Hip-Hop,86
Pyar Mohabbat,Badshah,Hip-Hop,88
Dil Jaan,Shreya Ghoshal,Folk,87
Din Zindagi,Atif Aslam,Punjabi,97
Mere Ishq,Arijit Singh,Fusion,89
Mohabbat Din,Jubin Nautiyal,Retro,100
Tere Ishq,Shreya Ghoshal,Folk,98
Mere Dil,Arijit Singh,Retro,86
Raat Raat,Arijit Singh,Fusion,85
Raat Raat,Jubin Nautiyal,Pop,90
Dil Tere,Arijit Singh,Folk,95
Dil Pyar,KK,Folk,98
Zindagi Mere,Shreya Ghoshal,Fusion,85
Mohabbat Raat,Neha Kakkar,Folk,94
Dil Tere,Neha Kakkar,Fusion,91
Mohabbat Tere,Badshah,Indie,84
Mohabbat Tere,KK,Hip-Hop,93
Mohabbat Tere,Jubin Nautiyal,Pop,80
Tere Ishq,Sonu Nigam,Fusion,88
Ishq Pyar,Shreya Ghoshal,Hip-Hop,92
Raat Din,Shreya Ghoshal,Fusion,80
Dil Ishq,Arijit Singh,Bollywood,82
Zindagi Zindagi,Jubin Nautiyal,Retro,82
Mohabbat Din,Arijit Singh,Punjabi,97
Raat Jaan,Sonu Nigam,Fusion,94
Tere Raat,Sonu Nigam,Punjabi,100
Tere Mohabbat,Shreya Ghoshal,Bollywood,99
Din Mohabbat,Badshah,Hip-Hop,89
Dil Din,Shreya Ghoshal,Hip-Hop,86
Zindagi Ishq,Atif Aslam,Indie,84
Mere Mere,Atif Aslam,Indie,99
Ishq Jaan,Shreya Ghoshal,Hip-Hop,98
Dil Zindagi,KK,Retro,96
Mere Raat,Arijit Singh,Retro,83
Mohabbat Mere,Sonu Nigam,Punjabi,89
Tere Zindagi,Badshah,Indie,80
Zindagi Mere,Sonu Nigam,Folk,91
Raat Dil,Neha Kakkar,Bollywood,91
Ishq Pyar,Badshah,Indie,87
Jaan Jaan,KK,Punjabi,91
Jaan Ishq,Jubin Nautiyal,Bollywood,85
Jaan Mere,Neha Kakkar,Bollywood,100
Tere Mohabbat,KK,Pop,88
Pyar Ishq,Sonu Nigam,Indie,94
Zindagi Mere,Arijit Singh,Fusion,81
Zindagi Zindagi,Neha Kakkar,Indie,99
Dil Tere,KK,Indie,83
Mohabbat Mere,Badshah,Fusion,91
Raat Zindagi,Neha Kakkar,Punjabi,98
Din Dil,Sonu Nigam,Punjabi,86
Ishq Mohabbat,Atif Aslam,Hip-Hop,86
Ishq Raat,Arijit Singh,Fusion,98
Mere Jaan,KK,Retro,83
Raat Mohabbat,KK,Folk,90
Din Din,Jubin Nautiyal,Indie,91
Din Dil,KK,Fusion,95
Mere Mohabbat,Shreya Ghoshal,Bollywood,82
Din Mere,Arijit Singh,Punjabi,92
Mohabbat Mohabbat,Neha Kakkar,Punjabi,95
Mere Tere,Badshah,Indie,82
Dil Raat,Jubin Nautiyal,Hip-Hop,84
Ishq Raat,Badshah,Pop,83
Pyar Tere,KK,Fusion,91
Dil Jaan,Sonu Nigam,Punjabi,87
Jaan Mohabbat,Sonu Nigam,Fusion,89
Raat Mohabbat,Atif Aslam,Fusion,96
Din Mere,KK,Indie,88
Raat Jaan,Atif Aslam,Hip-Hop,89
Din Ishq,Jubin Nautiyal,Pop,81
Tere Ishq,Arijit Singh,Hip-Hop,90
Mere Dil,Jubin Nautiyal,Fusion,85
Mere Jaan,Atif Aslam,Pop,83
Mohabbat Zindagi,Shreya Ghoshal,Bollywood,84
Dil Ishq,Neha Kakkar,Pop,87
Tere Mohabbat,Jubin Nautiyal,Bollywood,95
Pyar Raat,Sonu Nigam,Folk,88
Ishq Din,KK,Fusion,93
Tere Tere,Badshah,Fusion,99
Jaan Raat,Jubin Nautiyal,Indie,89
Zindagi Mohabbat,KK,Indie,88
Din Jaan,Badshah,Pop,89
Tere Ishq,Arijit Singh,Hip-Hop,89
Tere Dil,Atif Aslam,Fusion,92
Jaan Raat,KK,Hip-Hop,85
Pyar Raat,Shreya Ghoshal,Hip-Hop,100
Raat Din,Jubin Nautiyal,Indie,88
Zindagi Jaan,KK,Bollywood,88
Mere Pyar,Sonu Nigam,Punjabi,92
Tere Mohabbat,Atif Aslam,Retro,99
Raat Zindagi,Shreya Ghoshal,Bollywood,94
Tere Dil,Shreya Ghoshal,Retro,87
Tere Mohabbat,Shreya Ghoshal,Bollywood,90
Mere Ishq,Arijit Singh,Bollywood,88
Jaan Dil,Jubin Nautiyal,Bollywood,99
Raat Zindagi,Badshah,Indie,94
Raat Tere,Arijit Singh,Fusion,82
Din Jaan,Badshah,Bollywood,83
Mere Din,Jubin Nautiyal,Fusion,80
Pyar Mere,Arijit Singh,Hip-Hop,99
Tere Jaan,Neha Kakkar,Fusion,93
Tere Jaan,KK,Folk,90
Din Jaan,KK,Fusion,87
Tere Mohabbat,Sonu Nigam,Indie,96
Din Din,Atif Aslam,Punjabi,92
Raat Zindagi,Neha Kakkar,Fusion,90
Mohabbat Zindagi,Badshah,Hip-Hop,82
Din Jaan,Badshah,Indie,92
Tere Pyar,Badshah,Hip-Hop,94
Mere Ishq,Arijit Singh,Punjabi,83
Pyar Jaan,Arijit Singh,Punjabi,94
Raat Tere,Badshah,Punjabi,88
Dil Pyar,Sonu Nigam,Folk,84
Din Din,Arijit Singh,Folk,83
Raat Din,Shreya Ghoshal,Hip-Hop,97
Mere Tere,Atif Aslam,Hip-Hop,97
Mere Jaan,Sonu Nigam,Folk,91
Mere Raat,Jubin Nautiyal,Pop,93
Mohabbat Pyar,Atif Aslam,Indie,91
Mohabbat Jaan,KK,Pop,83
Ishq Tere,Neha Kakkar,Bollywood,90
Raat Zindagi,Badshah,Indie,84
Raat Mere,KK,Hip-Hop,86
Ishq Mohabbat,Jubin Nautiyal,Bollywood,94
Tere Zindagi,Atif Aslam,Indie,87
Jaan Raat,Jubin Nautiyal,Punjabi,100
Ishq Zindagi,Jubin Nautiyal,Fusion,85
Mohabbat Din,Shreya Ghoshal,Folk,82
Tere Ishq,Sonu Nigam,Bollywood,87
Tere Mohabbat,KK,Bollywood,88
Mohabbat Raat,Shreya Ghoshal,Folk,90
Pyar Dil,Jubin Nautiyal,Bollywood,81
Mohabbat Mere,Jubin Nautiyal,Punjabi,86
Raat Pyar,Arijit Singh,Folk,100
Pyar Jaan,Badshah,Folk,99
Dil Din,Shreya Ghoshal,Bollywood,87
Ishq Mere,Jubin Nautiyal,Bollywood,83
Mohabbat Zindagi,Atif Aslam,Punjabi,94
Mohabbat Din,Jubin Nautiyal,Indie,94
Mere Dil,Atif Aslam,Retro,86
Raat Mohabbat,Sonu Nigam,Indie,95
Jaan Din,Neha Kakkar,Hip-Hop,88
Din Zindagi,Sonu Nigam,Fusion,96
Ishq Ishq,Atif Aslam,Indie,81
Din Jaan,Jubin Nautiyal,Bollywood,94
Tere Zindagi,Atif Aslam,Indie,89
Tere Zindagi,Shreya Ghoshal,Fusion,92
Mohabbat Mere,Atif Aslam,Indie,85
Zindagi Dil,Sonu Nigam,Bollywood,89
Raat Pyar,KK,Hip-Hop,93
Mere Ishq,KK,Folk,83
Dil Zindagi,Sonu Nigam,Indie,99
Jaan Din,Badshah,Hip-Hop,98
Jaan Mere,Badshah,Fusion,88
Ishq Zindagi,Arijit Singh,Punjabi,98
Dil Jaan,Jubin Nautiyal,Folk,90
Din Pyar,Atif Aslam,Bollywood,98
Din Din,Arijit Singh,Fusion,100
Mere Zindagi,Sonu Nigam,Retro,87
Mohabbat Raat,Badshah,Folk,83
Dil Mere,Jubin Nautiyal,Pop,96
Mohabbat Dil,KK,Retro,90
Ishq Dil,Arijit Singh,Folk,86
Dil Raat,KK,Indie,92
Ishq Din,KK,Indie,100
Ishq Dil,Neha Kakkar,Punjabi,99
Ishq Zindagi,Atif Aslam,Bollywood,95
Zindagi Dil,Shreya Ghoshal,Indie,85
Dil Tere,Neha Kakkar,Hip-Hop,85
Tere Ishq,Atif Aslam,Hip-Hop,89
Pyar Raat,Shreya Ghoshal,Indie,99
Mohabbat Zindagi,Neha Kakkar,Hip-Hop,90
Jaan Jaan,Arijit Singh,Punjabi,93
Jaan Tere,KK,Pop,84
Mohabbat Dil,KK,Retro,99
Jaan Tere,KK,Retro,90
Tere Jaan,Atif Aslam,Pop,97
Ishq Raat,Sonu Nigam,Folk,85
Jaan Zindagi,Jubin Nautiyal,Folk,88
Dil Mere,Badshah,Hip-Hop,83
Tere Pyar,Badshah,Indie,96
Tere Ishq,Shreya Ghoshal,Hip-Hop,87
Jaan Jaan,Shreya Ghoshal,Fusion,92
Raat Tere,Atif Aslam,Punjabi,95
Jaan Dil,Atif Aslam,Punjabi,80
Jaan Din,Shreya Ghoshal,Indie,96
Tere Jaan,Sonu Nigam,Bollywood,84
Dil Dil,Arijit Singh,Indie,83
Dil Raat,Jubin Nautiyal,Hip-Hop,85
Ishq Tere,Atif Aslam,Indie,89
Raat Raat,Badshah,Punjabi,93
Din Pyar,Jubin Nautiyal,Hip-Hop,95
Raat Dil,Arijit Singh,Pop,80
Din Ishq,Badshah,Punjabi,81
Mere Jaan,Arijit Singh,Hip-Hop,95
Mohabbat Pyar,Jubin Nautiyal,Punjabi,88
Mohabbat Zindagi,Shreya Ghoshal,Bollywood,81
Zindagi Ishq,Neha Kakkar,Hip-Hop,100
Mere Dil,Shreya Ghoshal,Folk,89
Ishq Dil,Arijit Singh,Punjabi,82
Jaan Tere,Atif Aslam,Folk,100
Ishq Mere,KK,Folk,93
Raat Ishq,Atif Aslam,Fusion,86
Din Ishq,Atif Aslam,Folk,82
Dil Din,KK,Pop,89
Ishq Ishq,KK,Indie,100
Raat Jaan,Sonu Nigam,Indie,94
Din Din,Arijit Singh,Retro,96
Pyar Zindagi,Shreya Ghoshal,Indie,88
Dil Ishq,Jubin Nautiyal,Indie,94
Mohabbat Tere,Arijit Singh,Punjabi,97
Mohabbat Mohabbat,Arijit Singh,Bollywood,86
Mohabbat Zindagi,Badshah,Pop,91
Pyar Raat,Sonu Nigam,Pop,92
Zindagi Mohabbat,Shreya Ghoshal,Indie,82
Mohabbat Zindagi,KK,Indie,89
Mohabbat Din,Badshah,Hip-Hop,87
Zindagi Mohabbat,Arijit Singh,Folk,89
Zindagi Dil,Neha Kakkar,Indie,84
Pyar Dil,Neha Kakkar,Bollywood,100
Din Zindagi,Neha Kakkar,Punjabi,96
Tere Mohabbat,Neha Kakkar,Bollywood,97
Raat Din,KK,Bollywood,99
Dil Mere,Atif Aslam,Retro,81
Mere Dil,Neha Kakkar,Fusion,90
Ishq Mere,Badshah,Pop,99
Din Raat,Atif Aslam,Pop,87
Raat Mere,Badshah,Hip-Hop,83
Ishq Jaan,KK,Folk,89
Din Mere,Sonu Nigam,Indie,92
Tere Dil,Jubin Nautiyal,Retro,86
Mohabbat Mere,Sonu Nigam,Pop,88
Mohabbat Zindagi,Sonu Nigam,Retro,93
Jaan Tere,Neha Kakkar,Pop,83
Mohabbat Mohabbat,KK,Pop,98
Ishq Ishq,KK,Retro,100
Mere Ishq,Sonu Nigam,Hip-Hop,81
Pyar Mere,KK,Fusion,88
Jaan Dil,Neha Kakkar,Retro,87
Raat Tere,Arijit Singh,Folk,86
Mere Raat,Atif Aslam,Pop,88
Jaan Dil,Neha Kakkar,Punjabi,90
Mohabbat Dil,Badshah,Pop,86
Zindagi Din,Atif Aslam,Folk,88
Mohabbat Raat,Atif Aslam,Retro,92
Dil Tere,Neha Kakkar,Fusion,89
Ishq Jaan,Arijit Singh,Pop,82
Raat Din,Badshah,Fusion,80
Raat Mere,Jubin Nautiyal,Retro,89
Mohabbat Tere,Atif Aslam,Indie,82
Raat Jaan,Shreya Ghoshal,Hip-Hop,92
Dil Tere,Arijit Singh,Pop,95
Dil Din,KK,Folk,80
Ishq Raat,Neha Kakkar,Fusion,90
Pyar Mohabbat,Jubin Nautiyal,Bollywood,97
Jaan Raat,KK,Pop,83
Zindagi Pyar,Jubin Nautiyal,Bollywood,95
Raat Zindagi,Jubin Nautiyal,Retro,81
Zindagi Zindagi,Shreya Ghoshal,Fusion,88
Din Mohabbat,Arijit Singh,Pop,81
Mohabbat Mohabbat,Atif Aslam,Indie,94
Tere Mere,Shreya Ghoshal,Punjabi,88
Raat Zindagi,Arijit Singh,Hip-Hop,90
Mere Ishq,KK,Folk,80
Mohabbat Din,Badshah,Retro,82
Din Pyar,Shreya Ghoshal,Retro,95
Raat Din,Jubin Nautiyal,Indie,99
Tere Jaan,Jubin Nautiyal,Punjabi,99
Dil Dil,KK,Retro,81
Raat Jaan,Neha Kakkar,Retro,97
Jaan Din,Sonu Nigam,Bollywood,84
Jaan Jaan,Jubin Nautiyal,Retro,98
Raat Din,Sonu Nigam,Fusion,80
Din Mohabbat,Arijit Singh,Retro,97
Mohabbat Mohabbat,Badshah,Pop,99
Din Mohabbat,Arijit Singh,Pop,96
Tere Pyar,Atif Aslam,Pop,90
Pyar Din,Badshah,Pop,83
Ishq Mohabbat,Neha Kakkar,Pop,95
Mohabbat Mere,Shreya Ghoshal,Punjabi,80
Ishq Tere,Sonu Nigam,Pop,86
Din Pyar,Atif Aslam,Pop,84
Dil Jaan,Jubin Nautiyal,Bollywood,84
Dil Tere,Neha Kakkar,Pop,100
Tere Mohabbat,Atif Aslam,Fusion,86
Din Pyar,Shreya Ghoshal,Hip-Hop,92
Mere Ishq,KK,Hip-Hop,80
Zindagi Pyar,Badshah,Hip-Hop,84
Ishq Jaan,Neha Kakkar,Pop,98
Mohabbat Ishq,Badshah,Hip-Hop,92
Jaan Din,KK,Fusion,87
Din Pyar,Atif Aslam,Pop,82
Raat Din,Sonu Nigam,Pop,86
Mere Zindagi,Jubin Nautiyal,Fusion,86
Dil Dil,Shreya Ghoshal,Hip-Hop,85
Pyar Mere,Atif Aslam,Retro,93
Ishq Din,Sonu Nigam,Indie,92
Pyar Mohabbat,Shreya Ghoshal,Punjabi,82
Dil Mohabbat,Jubin Nautiyal,Pop,87
Mohabbat Zindagi,Shreya Ghoshal,Hip-Hop,88
Raat Zindagi,Neha Kakkar,Retro,93
Zindagi Jaan,Jubin Nautiyal,Punjabi,95
Ishq Raat,Badshah,Hip-Hop,98
Zindagi Mere,Badshah,Pop,90
Din Raat,Arijit Singh,Fusion,86
Tere Raat,Badshah,Punjabi,84
Pyar Zindagi,Atif Aslam,Indie,83
Ishq Ishq,Shreya Ghoshal,Hip-Hop,95
Din Tere,Neha Kakkar,Bollywood,100
Zindagi Ishq,Neha Kakkar,Hip-Hop,82
Tere Zindagi,Badshah,Bollywood,87
Tere Tere,Badshah,Indie,90
Mohabbat Mere,Jubin Nautiyal,Fusion,96
Jaan Pyar,Jubin Nautiyal,Fusion,97
Mohabbat Mohabbat,Badshah,Fusion,100
Mohabbat Ishq,Neha Kakkar,Hip-Hop,90
Tere Dil,Jubin Nautiyal,Hip-Hop,100
Jaan Mere,Sonu Nigam,Punjabi,96
Pyar Ishq,KK,Fusion,87
Jaan Jaan,Arijit Singh,Indie,90
Dil Ishq,Arijit Singh,Bollywood,98
Dil Din,Badshah,Pop,87
Mere Zindagi,Atif Aslam,Bollywood,89
Ishq Mohabbat,KK,Folk,93
Tere Zindagi,Sonu Nigam,Fusion,98
Zindagi Dil,Neha Kakkar,Folk,86
Dil Ishq,KK,Indie,93
Pyar Zindagi,Jubin Nautiyal,Pop,93
Dil Raat,Atif Aslam,Pop,95
Din Ishq,Jubin Nautiyal,Punjabi,95
Mohabbat Mere,Atif Aslam,Punjabi,89
Dil Mere,Jubin Nautiyal,Folk,97
Zindagi Din,Jubin Nautiyal,Fusion,91
Dil Raat,KK,Retro,96
Zindagi Mohabbat,Shreya Ghoshal,Hip-Hop,86
Pyar Dil,Neha Kakkar,Retro,98
Mohabbat Zindagi,Shreya Ghoshal,Punjabi,81
Din Mere,Shreya Ghoshal,Indie,83
Mere Din,Jubin Nautiyal,Pop,98
Mohabbat Mere,KK,Pop,93
Pyar Din,Arijit Singh,Punjabi,89
Mohabbat Mere,KK,Fusion,99
Dil Dil,KK,Pop,90
Din Zindagi,Badshah,Indie,84
Zindagi Tere,Sonu Nigam,Retro,96
Pyar Pyar,Neha Kakkar,Retro,82
Tere Tere,KK,Indie,100
Ishq Din,Atif Aslam,Bollywood,98
Jaan Jaan,Shreya Ghoshal,Hip-Hop,82
Mere Jaan,Atif Aslam,Pop,85
Din Mohabbat,Neha Kakkar,Folk,81
Zindagi Din,KK,Folk,98
Raat Jaan,Neha Kakkar,Indie,87
Din Din,Badshah,Retro,93
Raat Dil,Neha Kakkar,Folk,94
Dil Din,Sonu Nigam,Punjabi,90
Ishq Mohabbat,KK,Bollywood,93
Raat Tere,Jubin Nautiyal,Punjabi,98
Ishq Pyar,Jubin Nautiyal,Retro,95
Jaan Raat,Arijit Singh,Folk,99
Ishq Pyar,Atif Aslam,Indie,99
Din Din,Atif Aslam,Pop,98
Pyar Din,Atif Aslam,Pop,98
Raat Tere,Atif Aslam,Bollywood,100
Tere Din,Sonu Nigam,Indie,93
Din Pyar,Arijit Singh,Hip-Hop,80
Raat Din,Arijit Singh,Bollywood,98
Mere Mere,Atif Aslam,Punjabi,98
Din Jaan,Jubin Nautiyal,Fusion,91
Jaan Jaan,Sonu Nigam,Retro,80
Raat Mohabbat,Sonu Nigam,Bollywood,97
Raat Jaan,Sonu Nigam,Hip-Hop,85
Mere Ishq,Sonu Nigam,Pop,80
Jaan Dil,Jubin Nautiyal,Indie,83
Jaan Ishq,Arijit Singh,Punjabi,92
Raat Jaan,Badshah,Folk,81
Mohabbat Jaan,Shreya Ghoshal,Indie,91
Mohabbat Tere,KK,Hip-Hop,90
Ishq Pyar,Arijit Singh,Hip-Hop,89
Mere Mohabbat,Arijit Singh,Pop,87
Mere Ishq,Atif Aslam,Bollywood,88
Mohabbat Raat,KK,Bollywood,83
Mohabbat Jaan,Jubin Nautiyal,Hip-Hop,94
Din Mere,Jubin Nautiyal,Folk,90
Dil Dil,Neha Kakkar,Indie,94
Pyar Ishq,Jubin Nautiyal,Pop,88
Raat Dil,Shreya Ghoshal,Fusion,83
Tere Ishq,Shreya Ghoshal,Retro,84
Dil Raat,Jubin Nautiyal,Punjabi,100
Ishq Tere,Sonu Nigam,Retro,88
Jaan Din,Arijit Singh,Bollywood,84
Pyar Mohabbat,KK,Bollywood,99
Zindagi Mere,Sonu Nigam,Pop,88
Pyar Jaan,Neha Kakkar,Retro,97
Mere Jaan,Neha Kakkar,Fusion,85
Mere Tere,Shreya Ghoshal,Pop,93
Din Tere,Jubin Nautiyal,Folk,81
Mere Jaan,Atif Aslam,Pop,81
Pyar Raat,Atif Aslam,Pop,91
Mere Pyar,Sonu Nigam,Bollywood,100
Ishq Jaan,Badshah,Pop,85
Jaan Ishq,Arijit Singh,Folk,81
Ishq Ishq,Atif Aslam,Pop,81
Dil Pyar,KK,Bollywood,81
Mohabbat Ishq,Neha Kakkar,Folk,84
Pyar Tere,Badshah,Folk,88
Din Ishq,Jubin Nautiyal,Pop,90
Raat Din,Shreya Ghoshal,Fusion,86
Din Dil,Atif Aslam,Fusion,83
Pyar Jaan,KK,Fusion,98
Jaan Ishq,Neha Kakkar,Pop,92
Zindagi Din,Shreya Ghoshal,Retro,98
Ishq Mohabbat,Arijit Singh,Hip-Hop,93
Zindagi Jaan,Atif Aslam,Punjabi,83
Dil Zindagi,Atif Aslam,Punjabi,87
Raat Ishq,Badshah,Indie,82
Mohabbat Mohabbat,Badshah,Hip-Hop,100
Mohabbat Mohabbat,Badshah,Fusion,99
Pyar Mere,KK,Retro,87
Pyar Jaan,Atif Aslam,Folk,83
Mere Raat,Shreya Ghoshal,Folk,90
Tere Pyar,Badshah,Punjabi,81
Pyar Jaan,Jubin Nautiyal,Hip-Hop,82
Jaan Mere,Neha Kakkar,Indie,94
